annual_mean_salary_log,total_employment_log,manual_dexterity,creativity_level,critical_thinking,major_13,major_15,major_17,major_19,major_21,major_23,major_25,major_27,major_29,major_31,major_33,major_35,major_37,major_39,major_41,major_43,major_45,major_47,major_49,major_51,major_53,Job Title,predicted_risk,risk_pct,risk_level,annual_mean_salary,total_employment
12.177421081623448,12.316096769641376,0.0,4.125,4.4350000000000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Chief Executives,0.03251112869352868,3.3,🟢 Low Risk,194350.0,223260
11.712521947308366,14.59889644374977,0.5,3.5,3.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,General and Operations Managers,0.13975916558033474,14.0,🟢 Low Risk,122090.0,2188870
11.676836924447922,10.270246481762213,0.38,4.0,4.12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Advertising and Promotions Managers,0.057474097358818255,5.7,🟢 Low Risk,117810.0,28860
11.878547266153825,12.235150749730654,0.38,4.0,4.12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Marketing Managers,0.019718960483181534,2.0,🟢 Low Risk,144140.0,205900
11.813703904408754,12.808285309094947,0.38,3.88,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Sales Managers,0.025488377668773734,2.5,🟢 Low Risk,135090.0,365230
11.889586352734971,12.772837106421333,2.0,3.5,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Computer and Information Systems Managers,0.04835377804232802,4.8,🟢 Low Risk,145740.0,352510
11.847402856066642,13.205418773141638,0.2933333333333333,3.456666666666667,4.376666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Financial Managers,0.10134547855107855,10.1,🟢 Low Risk,139720.0,543300
11.581154044460447,12.034103319015012,2.145,3.353333333333333,3.98,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Industrial Production Managers,0.06409584168701662,6.4,🟢 Low Risk,107060.0,168400
11.676072697044594,11.180957070806974,0.0,3.75,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Purchasing Managers,0.07263044456259773,7.3,🟢 Low Risk,117720.0,71750
11.488950344920513,11.637538456618753,0.5,3.25,3.81,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Transportation; Storage; and Distribution Managers,0.47242908201058204,47.2,🟡 Medium Risk,97630.0,113270
11.751162533892076,9.631088103615504,0.0,3.12,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Compensation and Benefits Managers,0.40283368253968244,40.3,🟡 Medium Risk,126900.0,15230
11.697003811039176,11.77383482542412,0.12,4.0,4.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Human Resources Managers,0.0400478094623828,4.0,🟢 Low Risk,120210.0,129810
11.654260083085832,10.400650262332935,0.62,3.88,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Training and Development Managers,0.049499118065215966,4.9,🟢 Low Risk,115180.0,32880
11.235734831071847,8.4252971767117,2.5,3.62,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Farmers; Ranchers; and Other Agricultural Managers,0.04137471279697064,4.1,🟢 Low Risk,75790.0,4560
11.508023469799996,12.427819221528583,1.25,3.25,4.38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Construction Managers,0.18565089206349208,18.6,🟢 Low Risk,99510.0,249650
10.86189863570049,10.789958047997803,1.25,3.75,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Education Administrators; Preschool and Childcare Center/Program,0.01463749285815037,1.5,🟢 Low Risk,52150.0,48530
11.465739513363474,12.40069737363713,0.0,4.0,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Education Administrators; Elementary and Secondary School,0.016570350677243332,1.7,🟢 Low Risk,95390.0,242970
